The JCSG+ Suite Composition Table										
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Salt 1	Salt 2	Salt 3	Salt 4	Buffer 	Precipitant 1	Precipitant 2	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
62	 3,C2	F2	3.15 M Ammonium sulfate				0.1 M Citric acid pH 5			135962
63	 3,C3	F3					0.1 M TRIS pH 8	20 %v/v MPD		135963
64	 3,C4	F4					0.1 M HEPES pH 7.5	20 %w/v Jeffamine M-600		135964
65	 3,C5	F5	0.2 M Magnesium chloride				0.1 M TRIS pH 8.5	50 %v/v Ethylene glycol		135965
66	 3,C6	F6					0.1 M BICINE pH 9	10 %v/v MPD		135966
67	 3,D1	F7	0.8 M Succinic acid pH 7.0							135967
68	 3,D2	F8	2.1 M DL-Malic acid pH 7.0							135968
69	 3,D3	F9	2.4 M Sodium malonate pH 7.0							135969
70	 3,D4	F10	1.1 M Sodium malonate pH 7.0				0.1 M HEPES pH 7	0,5 %v/v Jeffamine ED-2001 pH 7.0		135970
71	 3,D5	F11	1 M Succinic acid pH 7.0				0.1 M HEPES pH 7	1 %w/v PEG MME 2000		135971
72	 3,D6	F12					0.1 M HEPES pH 7	30 %v/v Jeffamine M-600 pH 7.0		135972
73	 4,A1	G1					0.1 M HEPES pH 7	30 %v/v Jeffamine ED-2001 pH 7.0		135973
74	 4,A2	G2	0.02 M Magnesium chloride				0.1 M HEPES pH 7.5	22 %w/v Polyacrylic acid 5100 sodium salt		135974
75	 4,A3	G3	0.1 M Cobalt chloride				0.1 M TRIS pH 8.5	20 %w/v Polyvinylpyrrolidone K15		135975
76	 4,A4	G4	0.2 M Trimethylamine N-oxide				0.1 M TRIS pH 8.5	20 %w/v PEG MME 2000		135976
77	 4,A5	G5	0.005 M Cobalt chloride 	0.005 M Cadmium chloride	 0.005 M Magnesium chloride	 0.005 M Nickel chloride	0.1 M HEPES pH 7.5	12 %w/v PEG 3350		135977
78	 4,A6	G6	0.2 M Sodium malonate pH 7.0					20 %w/v PEG 3350		135978
79	 4,B1	G7	0.1 M Succinic acid pH 7.0					15 %w/v PEG 3350		135979
80	 4,B2	G8	0.15 M DL-Malic acid pH 7.0					20 %w/v PEG 3350		135980
81	 4,B3	G9	0.1 M Potassium thiocyanate					30 %w/v PEG MME 2000		135981
82	 4,B4	G10	0.15 M Potassium bromide					30 %w/v PEG MME 2000		135982
83	 4,B5	G11	2 M Ammonium sulfate				0.1 M bis-TRIS pH 5.5			135983
84	 4,B6	G12	3 M Sodium chloride				0.1 M bis-TRIS pH 5.5			135984
85	 4,C1	H1	0.3 M Magnesium formate				0.1 M bis-TRIS pH 5.5			135985
86	 4,C2	H2	1 M Ammonium sulfate				0.1 M bis-TRIS pH 5.5	1 %w/v PEG 3350		135986
87	 4,C3	H3					0.1 M bis-TRIS pH 5.5	25 %w/v PEG 3350		135987
88	 4,C4	H4	0.2 M Calcium chloride				0.1 M bis-TRIS pH 5.5	45 %v/v MPD		135988
89	 4,C5	H5	0.2 M Ammonium acetate				0.1 M bis-TRIS pH 5.5	45 %v/v MPD		135989
90	 4,C6	H6	0.1 M Ammonium acetate				0.1 M bis-TRIS pH 5.5	17 %w/v PEG 10,000		135990
91	 4,D1	H7	0.2 M Ammonium sulfate				0.1 M bis-TRIS pH 5.5	25 %w/v PEG 3350		135991
92	 4,D2	H8	0.2 M Sodium chloride				0.1 M bis-TRIS pH 5.5	25 %w/v PEG 3350		135992
93	 4,D3	H9	0.2 M Lithium sulfate				0.1 M bis-TRIS pH 5.5	25 %w/v PEG 3350		135993
94	 4,D4	H10	0.2 M Ammonium acetate				0.1 M bis-TRIS pH 5.5	25 %w/v PEG 3350		135994
95	 4,D5	H11	0.2 M Magnesium chloride				0.1 M bis-TRIS pH 5.5	25 %w/v PEG 3350		135995
96	 4,D6	H12	0.2 M Ammonium acetate				0.1 M HEPES pH 7.5	45 %v/v MPD		135996
