The pHClear II Suite Composition Table							
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Salt	Buffer 	Precipitant 	Final pH 	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
54	 3,A6	E6			0.8 M Na/K phosphate	8.2	134954
55	 3,B1	E7			1.0 M Na/K phosphate	5.0	134955
56	 3,B2	E8			1.0 M Na/K phosphate	5.6	134956
57	 3,B3	E9			1.0 M Na/K phosphate	6.3	134957
58	 3,B4	E10			1.0 M Na/K phosphate	6.9	134958
59	 3,B5	E11			1.0 M Na/K phosphate	7.5	134959
60	 3,B6	E12			1.0 M Na/K phosphate	8.2	134960
61	 3,C1	F1			1.4 M Na/K phosphate	5.0	134961
62	 3,C2	F2			1.4 M Na/K phosphate	5.6	134962
63	 3,C3	F3			1.4 M Na/K phosphate	6.3	134963
64	 3,C4	F4			1.4 M Na/K phosphate	6.9	134964
65	 3,C5	F5			1.4 M Na/K phosphate	7.5	134965
66	 3,C6	F6			1.4 M Na/K phosphate	8.2	134966
67	 3,D1	F7			1.8 M Na/K phosphate	5.0	134967
68	 3,D2	F8			1.8 M Na/K phosphate	5.6	134968
69	 3,D3	F9			1.8 M Na/K phosphate	6.3	134969
70	 3,D4	F10			1.8 M Na/K phosphate	6.9	134970
71	 3,D5	F11			1.8 M Na/K phosphate	7.5	134971
72	 3,D6	F12			1.8 M Na/K phosphate	8.2	134972
73	 4,A1	G1			1.0 M Sodium malonate	4.0	134973
74	 4,A2	G2			1.5 M Sodium malonate	4.0	134974
75	 4,A3	G3			1.9 M Sodium malonate	4.0	134975
76	 4,A4	G4			2.4 M Sodium malonate	4.0	134976
77	 4,A5	G5			2.9 M Sodium malonate	4.0	134977
78	 4,A6	G6			3.4 M Sodium malonate	4.0	134978
79	 4,B1	G7			1.0 M Sodium malonate	5.0	134979
80	 4,B2	G8			1.5 M Sodium malonate	5.0	134980
81	 4,B3	G9			1.9 M Sodium malonate	5.0	134981
82	 4,B4	G10			2.4 M Sodium malonate	5.0	134982
83	 4,B5	G11			2.9 M Sodium malonate	5.0	134983
84	 4,B6	G12			3.4 M Sodium malonate	5.0	134984
85	 4,C1	H1			1.0 M Sodium malonate	6.0	134985
86	 4,C2	H2			1.5 M Sodium malonate	6.0	134986
87	 4,C3	H3			1.9 M Sodium malonate	6.0	134987
88	 4,C4	H4			2.4 M Sodium malonate	6.0	134988
89	 4,C5	H5			2.9 M Sodium malonate	6.0	134989
90	 4,C6	H6			3.4 M Sodium malonate	6.0	134990
91	 4,D1	H7			1.0 M Sodium malonate	7.0	134991
92	 4,D2	H8			1.5 M Sodium malonate	7.0	134992
93	 4,D3	H9			1.9 M Sodium malonate	7.0	134993
94	 4,D4	H10			2.4 M Sodium malonate	7.0	134994
95	 4,D5	H11			2.9 M Sodium malonate	7.0	134995
96	 4,D6	H12			3.4 M Sodium malonate	7.0	134996
