The PEGs II Suite Composition Table								
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Salt 1	Salt 2	Buffer 	Precipitant 1	Precipitant 2	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
65	 3,C5	F5	0.2 M Ammonium sulfate		0.1 M Sodium acetate pH 4.6	25 %(w/v) PEG 4000		135565
66	 3,C6	F6	0.2 M Ammonium sulfate		0.1 M tri-Sodium citrate pH 5.6	25 %(w/v) PEG 4000		135566
67	 3,D1	F7	0.2 M Lithium sulfate	0.1 M Sodium acetate 	0.1 M HEPES pH 7.5	25 %(w/v) PEG 4000		135567
68	 3,D2	F8	0.1 M Sodium acetate 			25 %(w/v) PEG 4000	8 %(w/v) Isopropanol	135568
69	 3,D3	F9	0.2 M Ammonium sulfate			30 %(w/v) PEG 4000		135569
70	 3,D4	F10	0.2 M Ammonium sulfate		0.1 M Sodium acetate pH 4.6	30 %(w/v) PEG 4000		135570
71	 3,D5	F11	0.2 M Ammonium sulfate		0.1 M Sodium acetate-acetate pH 5.6	30 %(w/v) PEG 4000		135571
72	 3,D6	F12			0.1 M TRIS pH 8.5	32 %(w/v) PEG 4000	0.8 M Lithium chloride 	135572
73	 4,A1	G1	0.2 M Lithium sulfate		0.1 M TRIS pH 8.5	25 %(w/v) PEG 5000 MME		135573
74	 4,A2	G2	0.2 M Ammonium sulfate		0.1 M MES pH 6.5	30 %(w/v) PEG 5000 MME		135574
75	 4,A3	G3	0.1 M Potassium chloride		0.1 M TRIS pH 8.5	3 %(w/v) PEG 6000		135575
76	 4,A4	G4	0.01 M Magnesium chloride			10 %(w/v) PEG 6000		135576
77	 4,A5	G5	2.0 M Sodium chloride			12 %(w/v) PEG 6000		135577
78	 4,A6	G6				15 %(w/v) PEG 6000	5 %(w/v) Glycerol	135578
79	 4,B1	G7	0.05 M Potassium chloride	0.01 M Magnesium chloride		15 %(w/v) PEG 6000		135579
80	 4,B2	G8	0.01 M tri-Sodium citrate			16 %(w/v) PEG 6000		135580
81	 4,B3	G9			0.05 M Imidazole pH 8.0	20 %(w/v) PEG 6000		135581
82	 4,B4	G10	0.1 M Lithium chloride		0.1 M HEPES pH 7.5	25 %(w/v) PEG 6000		135582
83	 4,B5	G11	0.5 M Lithium chloride		0.1 M TRIS pH 8.5	28 %(w/v) PEG 6000		135583
84	 4,B6	G12	1.0 M Lithium chloride	0.1 M Sodium acetate 		30 %(w/v) PEG 6000		135584
85	 4,C1	H1	0.01 M tri-Sodium citrate			33 %(w/v) PEG 6000		135585
86	 4,C2	H2	0.5 M Lithium sulfate			2 %(w/v) PEG 8000		135586
87	 4,C3	H3	1.0 M Lithium sulfate			2 %(w/v) PEG 8000		135587
88	 4,C4	H4				4 %(w/v) PEG 8000		135588
89	 4,C5	H5	0.2 M Lithium chloride	0.05 M Magnesium sulfate		8 %(w/v) PEG 8000		135589
90	 4,C6	H6			0.1 M TRIS pH 8.5	8 %(w/v) PEG 8000		135590
91	 4,D1	H7	0.2 M Zinc acetate		0.1M Imidazole pH 6.5	10 %(w/v) PEG 8000		135591
92	 4,D2	H8	0.2 M Calcium acetate		0.1 M HEPES pH 7.5	10 %(w/v) PEG 8000		135592
93	 4,D3	H9	0.05 M Magnesium acetate	0.1 M Sodium acetate 		10 %(w/v) PEG 8000		135593
94	 4,D4	H10	0.2 M Magnesium acetate			10 %(w/v) PEG 8000		135594
95	 4,D5	H11			0.1 M HEPES pH 7.5	10 %(w/v) PEG 8000	10 %(w/v) Ethylene Glycol	135595
96	 4,D6	H12				10 %(w/v) PEG 8000	10 %(w/v) PEG 1000	135596
