The AmSO4 Suite Composition Table							
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Salt	Buffer 	Precipitant 1	Precipitant 2	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
56	 3,B2	E8		0.1 M Citric acid pH 5.0	1.6 M Ammonium sulfate		134456
57	 3,B3	E9		0.1 M MES pH 6.0	1.6 M Ammonium sulfate		134457
58	 3,B4	E10		0.1 M HEPES pH 7.0	1.6 M Ammonium sulfate		134458
59	 3,B5	E11		0.1 M TRIS pH 8.0	1.6 M Ammonium sulfate		134459
60	 3,B6	E12		0.1 M BICINE pH 9.0	1.6 M Ammonium sulfate		134460
61	 3,C1	F1		0.1 M Citric acid pH 4.0	2.4 M Ammonium sulfate		134461
62	 3,C2	F2		0.1 M Citric acid pH 5.0	2.4 M Ammonium sulfate		134462
63	 3,C3	F3		0.1 M MES pH 6.0	2.4 M Ammonium sulfate		134463
64	 3,C4	F4		0.1 M HEPES pH 7.0	2.4 M Ammonium sulfate		134464
65	 3,C5	F5		0.1 M TRIS pH 8.0	2.4 M Ammonium sulfate		134465
66	 3,C6	F6		0.1 M BICINE pH 9.0	2.4 M Ammonium sulfate		134466
67	 3,D1	F7		0.1 M Citric acid pH 4.0	3.2 M Ammonium sulfate		134467
68	 3,D2	F8		0.1 M Citric acid pH 5.0	3.2 M Ammonium sulfate		134468
69	 3,D3	F9		0.1 M MES pH 6.0	3.2 M Ammonium sulfate		134469
70	 3,D4	F10		0.1 M HEPES pH 7.0	3.2 M Ammonium sulfate		134470
71	 3,D5	F11		0.1 M TRIS pH 8.0	3.2 M Ammonium sulfate		134471
72	 3,D6	F12		0.1 M BICINE pH 9.0	3.2 M Ammonium sulfate		134472
73	 4,A1	G1	0.1 M tri-Sodium citrate		0.5 M Ammonium sulfate	1.0 M Lithium Sulfate	134473
74	 4,A2	G2			1.0 M Ammonium sulfate		134474
75	 4,A3	G3		0.1 M Sodium acetate pH 4.6	1.0 M Ammonium sulfate		134475
76	 4,A4	G4		0.1 M HEPES sodium salt pH 7.5	1.0 M Ammonium sulfate	2 %(w/v) PEG 400	134476
77	 4,A5	G5		0.1 M TRIS.HCl pH 8.5	1.0 M Ammonium sulfate		134477
78	 4,A6	G6	0.05 M tri-Sodium citrate		1.2 M Ammonium sulfate	3 %(w/v) Isopropanol	134478
79	 4,B1	G7		0.1 M TRIS.HCl pH 8.5	1.5 M Ammonium sulfate	15 %(w/v) Glycerol	134479
80	 4,B2	G8	0.5 M Lithium chloride		1.6 M Ammonium sulfate		134480
81	 4,B3	G9	1.0 M Lithium sulfate		1.6 M Ammonium sulfate		134481
82	 4,B4	G10	0.2 M Sodium chloride	0.1 M HEPES sodium salt pH 7.5	1.6 M Ammonium sulfate		134482
83	 4,B5	G11		0.1 M HEPES sodium salt pH 7.5	1.6 M Ammonium sulfate	2 %(w/v) PEG 1000	134483
84	 4,B6	G12		0.1 M MES sodium salt pH 6.5	1.8 M Ammonium sulfate		134484
85	 4,C1	H1	2.0 M Sodium chloride		2.0 M Ammonium sulfate		134485
86	 4,C2	H2		0.1 M Sodium acetate pH 4.6	2.0 M Ammonium sulfate		134486
87	 4,C3	H3		0.1 M MES sodium salt pH 6.5	2.0 M Ammonium sulfate	5 %(w/v) PEG 400	134487
88	 4,C4	H4		0.1 M TRIS.HCl pH 8.5	2.0 M Ammonium sulfate		134488
89	 4,C5	H5			2.2 M Ammonium sulfate		134489
90	 4,C6	H6			2.2 M Ammonium sulfate	20 %(w/v) Glycerol	134490
91	 4,D1	H7	0.1 M tri-Sodium citrate		2.4 M Ammonium sulfate		134491
92	 4,D2	H8			3.0 M Ammonium sulfate	1 %(w/v) MPD	134492
93	 4,D3	H9			3.0 M Ammonium sulfate	10 %(w/v) Glycerol	134493
94	 4,D4	H10		0.1 M HEPES sodium salt pH 7.5	3.5 M Ammonium sulfate		134494
95	 4,D5	H11		0.1 M MES sodium salt pH 6.5	3.5 M Ammonium sulfate	1 %(w/v) MPD	134495
96	 4,D6	H12			3.5 M Ammonium sulfate		134496
