The Classics Lite Suite Composition Table								
								
Number	"Plate number, well
(24-well plates)"	"Well
(96-well plates)"	Salt 1	Salt 2	Buffer	Precipitant 1	Precipitant 2	"Cat. No.
(Refill-Hit Solution,
4 x 12,5 ml tubes)"
41	 2,C5	D5			0.1 M Sodium acetate pH 4.6	1.0 M Sodium chloride		134141
42	 2,C6	D6	0.1 M Sodium phosphate	0.1 M Potassium phosphate	0.1 M MES pH 6.5	1.0 M Sodium chloride		134142
43	 2,D1	D7			0.1 M HEPES pH 7.5	2.15 M Sodium chloride		134143
44	 2,D2	D8			0.1 M HEPES sodium salt pH 7.5	0.7 M tri-Sodium citrate		134144
45	 2,D3	D9				0.8 M tri-Sodium citrate pH 6.5		134145
46	 2,D4	D10			0.1 M HEPES sodium salt pH 7.5	0.4 M Sodium phosphate	0.4 M Potassium phosphate	134146
47	 2,D5	D11			0.1 M Sodium acetate pH 4.6	1.0 M Sodium formate		134147
48	 2,D6	D12				2.0 M Sodium formate		134148
49	 3,A1	E1			0.1 M BICINE pH 9.0	1 %(v/v) Dioxane	5 %(w/v) PEG 20000	134149
50	 3,A2	E2			0.1 M MES pH 6.5	5 %(v/v) Dioxane	0.8 M Ammonium sulfate	134150
51	 3,A3	E3				17.5 %(v/v) Dioxane		134151
52	 3,A4	E4	0.5 M Sodium chloride 		0.1 M tri-Sodium citrate pH 5.6	1 %(v/v) Ethylene imine polymer		134152
53	 3,A5	E5			0.1 M TRIS pH 8.5	6 %(v/v) Glycerol	0.75 M Ammonium sulfate	134153
54	 3,A6	E6	0.25 M Sodium chloride	0.005 M Magnesium chloride		0.01 M CTAB		134154
55	 3,B1	E7	0.01 M Ferric chloride 		0.1 M tri-Sodium citrate pH 5.6	5 %(v/v) Jeffamine M-600		134155
56	 3,B2	E8			0.1 M HEPES pH 7.5	10 %(v/v) Jeffamine M-600		134156
57	 3,B3	E9	0.5 M Ammonium sulfate 		0.1 M tri-Sodium citrate pH 5.6	0.5 M Lithium sulfate		134157
58	 3,B4	E10	0.01 M Nickel chloride 		0.1 M TRIS pH 8.5	0.5 M Lithium sulfate		134158
59	 3,B5	E11			0.1 M HEPES sodium salt pH 7.5	0.75 M Lithium sulfate		134159
60	 3,B6	E12			0.1 M BICINE pH 9.0	1.0 M Magnesium chloride		134160
61	 3,C1	F1				0.1 M Magnesium formate		134161
62	 3,C2	F2			0.1 M MES pH 6.5	0.8 M Magnesium sulfate		134162
63	 3,C3	F3			0.1 M TRIS.HCl pH 8.5	4 %(w/v) PEG 8000		134163
64	 3,C4	F4			0.1 M HEPES pH 7.5	5 %(w/v) PEG 8000		134164
65	 3,C5	F5	0.5 M Lithium sulfate 			7.5 %(w/v) PEG 8000		134165
66	 3,C6	F6	0.2 M Zinc acetate 		0.1 M Sodium cacodylate pH 6.5	9 %(w/v) PEG 8000		134166
67	 3,D1	F7	0.2 M Calcium acetate 		0.1 M Sodium cacodylate pH 6.5	9 %(w/v) PEG 8000		134167
68	 3,D2	F8	0.2 M Magnesium acetate 		0.1 M Sodium cacodylate pH 6.5	10 %(w/v) PEG 8000		134168
69	 3,D3	F9	0.05 M Potassium phosphate 			10 %(w/v) PEG 8000		134169
70	 3,D4	F10	0.2 M Ammonium sulfate 		0.1 M Sodium cacodylate pH 6.5	15 %(w/v) PEG 8000		134170
71	 3,D5	F11	0.2 M Sodium acetate 		0.1 M Sodium cacodylate pH 6.5	15 %(w/v) PEG 8000		134171
72	 3,D6	F12	0.2 M Ammonium sulfate 			15 %(w/v) PEG 8000		134172
73	 4,A1	G1			0.1 M HEPES sodium salt pH 7.5	1 %(v/v) PEG 400	1.0 M Ammonium sulfate	134173
74	 4,A2	G2	0.2 M Calcium chloride		0.1 M HEPES sodium salt pH 7.5	14 %(v/v) PEG 400		134174
75	 4,A3	G3	0.1 M Cadmium chloride		0.1 M Sodium acetate pH 4.6	15 %(v/v) PEG 400		134175
76	 4,A4	G4	0.2 M Magnesium chloride		0.1 M HEPES sodium salt pH 7.5	15 %(v/v) PEG 400		134176
77	 4,A5	G5	0.2 M tri-Sodium citrate		0.1 M TRIS.HCl pH 8.5	15 %(v/v) PEG 400		134177
78	 4,A6	G6	0.1 M Sodium chloride		0.1 M BICINE pH 9.0	10 %(w/v) PEG 550 MME		134178
79	 4,B1	G7	0.01 M Zinc sulfate		0.1 M MES pH 6.5	12.5 %(w/v) PEG 550 MME		134179
80	 4,B2	G8				5 %(w/v) PEG 1000	5 %(w/v) PEG 8000	134180
81	 4,B3	G9				15 %(w/v) PEG 1500		134181
82	 4,B4	G10	0.01 M Nickel chloride		0.1 M TRIS pH 8.5	10 %(w/v) PEG 2000 MME		134182
83	 4,B5	G11	0.2 M Ammonium sulfate 		0.1 M Sodium acetate pH 4.6	15 %(w/v) PEG 2000 MME		134183
84	 4,B6	G12			0.1 M Sodium acetate pH 4.6	4 %(w/v) PEG 4000		134184
85	 4,C1	H1	0.2 M Ammonium sulfate		0.1 M Sodium acetate pH 4.6	12.5 %(w/v) PEG 4000		134185
86	 4,C2	H2	0.2 M Ammonium acetate		0.1 M Sodium acetate pH 4.6	15 %(w/v) PEG 4000		134186
87	 4,C3	H3	0.2 M Ammonium acetate		0.1 M tri-Sodium citrate pH 5.6	15 %(w/v) PEG 4000		134187
88	 4,C4	H4	0.2 M Magnesium chloride		0.1 M TRIS.HCl pH 8.5	15 %(w/v) PEG 4000		134188
89	 4,C5	H5	0.2 M Lithium sulfate		0.1 M TRIS.HCl pH 8.5	15 %(w/v) PEG 4000		134189
90	 4,C6	H6	0.2 M Sodium acetate 		0.1 M TRIS.HCl pH 8.5	15 %(w/v) PEG 4000		134190
91	 4,D1	H7	0.2 M Ammonium sulfate			15 %(w/v) PEG 4000		134191
92	 4,D2	H8	0.2 M Ammonium sulfate 		0.1 M MES pH 6.5	15 %(w/v) PEG 5000 MME		134192
93	 4,D3	H9			0.1 M HEPES pH 7.5	5 %(w/v) PEG 6000	2.5 %(v/v) MPD	134193
94	 4,D4	H10				5 %(w/v) PEG 6000	1.0 M Sodium chloride	134194
95	 4,D5	H11			0.1 M HEPES pH 7.5	10 %(w/v) PEG 10000	4 %(v/v) Ethylene glycol	134195
96	 4,D6	H12			0.1 M MES pH 6.5	6 %(w/v) PEG 20000		134196
